blended_score,business_type,company_name,differentiation_indicator,evidence,evidence_urls,fit_confidence,homepage_used,is_construction_or_installation,is_fit_for_nivo,is_generic_distributor,is_hospitality_or_property_company,is_service_heavy,is_subsidiary_or_group_company,niche_indicator,operating_model,orgnr,pages_fetched_count,reason_summary,red_flags,repeat_purchase_indicator,scalable_business_indicator,stage1_total_score,tavily_used
86.2,product_company,Texstar AB,medium,Homepage: offers a variety of workwear products|About: emphasizes customization and inventory management for businesses|Products: detailed product listings with various sizes and styles available,https://texstar.se/|https://texstar.se/for-foretag/|https://texstar.se/kollektion/,0.85,https://texstar.se,False,True,False,False,False,False,medium,manufacturer,5564551900,3,"Texstar AB specializes in hybrid workwear and offers a range of customizable clothing solutions for businesses, indicating a product-led model with potential for repeat purchases. Their focus on tailored collections and inventory management for corporate clients suggests scalability and differentiation in the market.",,high,medium,88.0,False
36.25,unknown,Fladen Fishing Aktiebolag,low,,,0.25,,False,False,False,False,False,False,low,unknown,5562146018,0,"The homepage fetch failed, and there is no available evidence to assess the company's fit for Nivo. Without information on products, services, or business model, confidence is low.",,low,low,85.0,False
37.8,unknown,Nordiska Kök AB,low,,https://www.nordiskakok.se/,0.2,https://www.nordiskakok.se,False,False,False,False,False,False,low,unknown,5591098214,1,"The website does not provide any specific information about products or services, making it difficult to assess fit for Nivo. There is no evidence of identifiable products or a clear business model.",,low,low,90.0,False
34.6,unknown,Mille Notti AB,low,,,0.2,,False,False,False,False,False,False,low,unknown,5564282738,0,"The homepage fetch failed, and there is no available evidence to assess the company's fit for Nivo. Without access to the website, it is impossible to determine the business model or product offerings.",,low,low,82.0,False
27.05,product_company,Formenta AB,medium,"Homepage: offers a range of outdoor products including flagpoles and street furniture.|About: family-owned for three generations, with a history of innovation in product development.",https://www.formenta.se|https://www.formenta.se/se/var-historia,0.25,https://www.formenta.se,False,False,False,False,False,True,medium,manufacturer,5564968039,2,"Formenta AB manufactures products for public outdoor environments, including flagpoles and street furniture, indicating a product-led business model. However, the presence of a parent group and the focus on public installations may limit its fit for Nivo. The evidence suggests a solid product offering but raises concerns about scalability and differentiation due to group affiliation.",Parent/group branding present in the description.,medium,medium,62.0,False
78.2,product_company,Quadpak AB,high,Homepage: manufacturer of flexible packaging solutions|About: focus on sustainable packaging and ISO certifications|Products: diverse range of bag-in-box and flexible packaging products,https://quadpak.se/|https://quadpak.se/about-us/|https://quadpak.se/products/,0.85,https://quadpak.se,False,True,False,False,False,False,medium,manufacturer,5566816632,3,"Quadpak AB is a manufacturer of flexible packaging solutions, specializing in innovative bag-in-box products. They have a strong focus on sustainability and quality, with a diverse product range that indicates potential for repeat purchases. Their upcoming capacity expansion suggests scalability.",,high,medium,68.0,False
25.45,product_company,KRYDDHUSET I LJUNG Aktiebolag,medium,Homepage: mentions spices|Product page: specific product (turmeric),https://kryddhuset.se/|https://kryddhuset.se/speciella-produkter/gurkmeja/,0.25,https://kryddhuset.se,False,False,False,False,False,False,medium,manufacturer,5564169786,2,"The website evidence is limited, with only a mention of a specific product (turmeric) indicating a focus on spices. However, the lack of broader product range or repeat purchase evidence limits confidence in fit for Nivo.",,medium,low,58.0,False
30.6,service_company,Scandic Hotels Aktiebolag,low,,,0.2,,False,False,False,True,True,False,low,unknown,5562991009,0,"The homepage fetch failed, and no specific evidence about products or differentiation was available. The company operates in the hospitality sector, which typically does not align with Nivo's investment criteria.",,low,low,72.0,False
29.8,service_company,Bravida Sverige AB,low,"Homepage: offers technical solutions for buildings and infrastructure|About: history as an installation company since the 1920s|Products: services include electrical, plumbing, and ventilation installations",https://www.bravida.se|https://www.bravida.se/om-bravida/bravidas-historia/|https://www.bravida.se/vart-erbjudande/,0.2,https://www.bravida.se,True,False,False,False,True,True,low,installer,5561974188,3,"The company primarily operates as an installation and service provider for technical solutions in buildings and infrastructure, which does not align with Nivo's focus on product-led businesses. The content indicates a heavy reliance on service and installation rather than identifiable products or brands.",service-heavy business model|installation-focused services,low,low,70.0,False
34.7,unknown,Ahlsell Sverige AB,medium,Homepage: broad product range for professionals|Brands page: offers products from various leading suppliers,https://www.ahlsell.se|https://www.ahlsell.se/varumarken/|https://www.ahlsell.se/butiker/,0.3,https://www.ahlsell.se,False,False,True,False,False,False,low,distributor,5560129206,3,"The company operates as a distributor of various products for professionals, including tools and supplies, but lacks clear differentiation or proprietary products. The evidence suggests a broad distribution model rather than a focused product-led business.",Generic distributor model,medium,medium,80.0,False
